Country,Alpha-2,Alpha-3,Continent,Dance
United States of America,US,USA,North_America,"Hip-hop dance is a dynamic and expressive dance style that originated in African-American and urban communities in the United States. It encompasses various styles like breakdancing, popping, locking, and krumping. Known for its high energy, intricate footwork, and rhythmic movements, hip-hop dance serves as a means of self-expression and storytelling. It has had a significant impact on popular culture, influencing music videos and fashion trends. Hip-hop dance embodies resilience, creativity, and cultural identity, providing a platform for unity and empowerment. Through its infectious rhythms and vibrant energy, hip-hop dance continues to inspire and captivate audiences, representing the dynamic cultural landscape of the United States."
Guatemala,GT,GTM,North_America,"Danza del Venado, or Dance of the Deer, is a traditional ceremonial dance performed by indigenous Maya communities in Guatemala. This symbolic dance tells the story of a hunter's encounter with a deer and incorporates expressive movements, elaborate costumes, and live music. Through rhythmic footwork, jumps, and graceful gestures, the dancers portray the relationship between the hunter and the deer. The dance holds cultural significance as it preserves indigenous traditions, spirituality, and ancestral connections to nature. Danza del Venado serves as a powerful representation of Guatemala's cultural heritage and serves to pass down these traditions to future generations."
Aruba,AW,ABW,North_America,"Soca dance is a lively and energetic dance style originating from Trinidad and Tobago, which has gained popularity throughout the Caribbean, including Aruba. It is often performed during festivals and parties, reflecting the vibrant spirit of the region. Soca dance combines elements of calypso music with more contemporary sounds, creating an infectious rhythm that inspires energetic movements, hip shaking, and vibrant footwork. Dancers synchronize their steps to the upbeat tempo, creating a joyful and celebratory atmosphere. Soca dance is a dynamic expression of Caribbean culture, bringing people together to enjoy the music, connect with the rhythm, and let loose on the dance floor."
El Salvador,SV,SLV,North_America,"Cumbia Salvadoreña is a lively and energetic traditional dance style from El Salvador that combines indigenous, African, and Spanish influences. It is characterized by intricate footwork, hip movements, and graceful spins, typically performed in pairs. Accompanied by the vibrant sounds of marimbas, guitars, and drums, Cumbia Salvadoreña creates a joyful and captivating atmosphere. This dance form is not only a form of entertainment but also a celebration of Salvadoran culture and heritage. It brings people together, fostering social interaction and a sense of community, while immersing participants in the vibrant rhythms and cultural traditions of El Salvador."
Dominica,DM,DMA,North_America,"Quadrille is a lively traditional folk dance with European and African influences, commonly performed in Dominica and other Caribbean islands. It is characterized by precise formations, intricate footwork, and spirited movements. Accompanied by lively music, Quadrille brings people together to celebrate and enjoy cultural events and social gatherings. The dance reflects the heritage and traditions of Dominica, showcasing the vibrant cultural identity of the island. With its energetic atmosphere and lively costumes, Quadrille serves as a joyful expression of community, tradition, and celebration."
Grenada,GD,GRD,North_America,"Calypso dance is a vibrant and energetic dance style that originated in the Caribbean, particularly Trinidad and Tobago, and is popular in Grenada. It involves lively movements, rhythmic hip shaking, and intricate footwork, all performed to the infectious beats of calypso music. Calypso dance embodies joy, celebration, and cultural expression, often incorporating storytelling and humor. It reflects the rich traditions of the Caribbean, providing a platform for social and political commentary. Calypso dance is a dynamic form of artistic expression that showcases the vibrant cultural heritage of Grenada and brings people together in celebration and enjoyment."
Haiti,HT,HTI,North_America,"Rara is a lively and vibrant traditional dance and music style originating from Haiti. It is closely associated with the Haitian Carnival and combines African, European, and Indigenous influences. Rara dancers parade through the streets in colorful costumes, playing traditional instruments and engaging in energetic movements. The dance creates a sense of unity, celebration, and cultural pride among the participants. Beyond its entertainment value, Rara holds cultural and social significance, serving as a means of cultural expression, social commentary, and celebration of Haitian identity. It showcases the resilience, creativity, and vibrancy of the Haitian people, reflecting their rich cultural heritage and community spirit."
Jamaica,JM,JAM,North_America,"Dancehall dance is a dynamic and energetic dance style that originated in Jamaica during the 1970s. It incorporates elements of reggae, hip-hop, and African dance to create a unique and vibrant form of expression. Dancers showcase fast-paced movements, intricate footwork, body isolations, and acrobatic stunts, demonstrating their agility, creativity, and individuality. Dancehall dance is commonly performed in clubs, parties, and competitions, serving as both entertainment and a cultural expression. It reflects the spirit, energy, and creativity of Jamaican music and culture, captivating audiences and inspiring dancers worldwide."
Canada,CA,CAN,North_America,"Square dance is a lively and social dance form that originated in Western Europe and has become popular in Canada. It involves groups of dancers moving in a square formation, guided by a caller who provides instructions for the dance moves. Square dance is known for its lively footwork, synchronized movements, and interaction between dancers. It is often performed at community gatherings, festivals, and social events, bringing people together for a fun and engaging experience. Square dance serves as a recreational activity that promotes social interaction, teamwork, and a sense of community. It reflects the cultural heritage of early settlers in Canada and continues to be enjoyed by people of all ages as a joyful and inclusive form of dance."
Mexico,MX,MEX,North_America,"Mariachi dance is a traditional form of dance that accompanies the lively and spirited music of mariachi bands in Mexico. It is characterized by elegant and graceful movements performed by dancers dressed in colorful traditional attire. The dance incorporates intricate footwork, synchronized group formations, and expressive hand gestures that accentuate the rhythm and melody of the music. Mariachi dance reflects the joy, romance, and cultural pride of Mexico, captivating audiences with its vibrant energy and showcasing the country's rich cultural heritage. It is a beautiful and captivating expression of Mexican culture that continues to be celebrated and enjoyed both within Mexico and around the world."
Spain,ES,ESP,Europe,"Flamenco dance is a vibrant and passionate form of artistic expression originating from Andalusia, Spain. It is characterized by intricate footwork, rhythmic hand clapping, percussive guitar playing, and soulful singing. The dancers, known as bailaores and bailaoras, convey a range of emotions through their movements, including joy, sadness, and intensity. Flamenco dance is a fusion of various cultural influences, including Moorish, Jewish, and Gypsy traditions, and it serves as a powerful medium for storytelling and self-expression. The dancers' precise footwork, intricate hand gestures, and dramatic flair captivate audiences, creating a mesmerizing spectacle that embodies the rich cultural heritage and fiery spirit of Spain."
Ireland,IE,IRL,Europe,"Irish step dance is a dynamic and rhythmic form of traditional dance that originated in Ireland. It is characterized by intricate footwork, quick and precise movements, and a distinct posture with arms typically held at the dancer's sides. Dancers wear intricate costumes, including dresses for girls and tailored suits for boys, adorned with vibrant colors and intricate designs. The dance is performed to traditional Irish music, often featuring the lively tunes of fiddles, flutes, and bodhráns. Irish step dance showcases the dancers' agility, control, and synchronization as they execute complex patterns and intricate steps, including jumps, kicks, and rapid leg movements. With its rich cultural heritage and lively energy, Irish step dance captivates audiences around the world, preserving and celebrating Ireland's vibrant traditions and identity."
Poland,PL,POL,Europe,"Polka dance is a lively and exuberant folk dance that originated in Central Europe, characterized by its energetic and rhythmic movements. The dancers, usually in pairs, take joyous steps to the lively tunes of polka music, which is typically played by an ensemble of instruments like accordions, clarinets, and trumpets. The dancers move with quick, light steps, often accompanied by twirls, hops, and hops in a lively and spirited manner. The dance embraces a sense of community and celebration, as participants engage in spirited interactions, laughter, and occasional spins, all while maintaining a strong connection with their dance partner. Polka dance embodies a vibrant and infectious energy that brings people together, fostering a joyful and festive atmosphere wherever it is performed."
Austria,AT,AUT,Europe,"The waltz is a graceful and elegant ballroom dance that originated in 18th-century Europe. It is characterized by its smooth and flowing movements, danced to the 3/4 time signature of waltz music. The dancers move in a closed position, with one partner leading and the other following, gracefully gliding across the dance floor. The waltz is known for its sweeping turns and gentle spins, as the dancers navigate the space with poise and precision. The dance embodies a sense of romance and connection, with partners maintaining a close embrace and maintaining eye contact throughout the dance. The waltz is a beautiful expression of harmony and synchronization between partners, creating a sense of timeless elegance and grace as they move in harmony to the enchanting melodies of waltz music."
Italy,IT,ITA,Europe,"The tarantella is a spirited and lively folk dance that originated in southern Italy, particularly in the regions of Apulia and Calabria. It is named after the tarantula spider, as the dance was believed to be a cure for the bite of this venomous creature. The tarantella is characterized by its fast-paced tempo, rhythmic footwork, and energetic movements. Dancers often form a circle or pairs, intertwining their arms and spinning rapidly in a clockwise direction. The steps include quick and intricate footwork, lively jumps, and occasional heel and toe taps, all accompanied by the vibrant sounds of tambourines, accordions, and mandolins. The dance reflects a sense of joy, celebration, and release, with participants energetically expressing their emotions through their movements. The tarantella is a captivating and captivating dance that captivates both dancers and spectators alike, showcasing the vibrant spirit and cultural heritage of southern Italy."
Serbia,RS,SRB,Europe,"The Serbian Kolo dance is a traditional circle dance that holds a special place in Serbian culture and is often considered the national dance of Serbia. It is a lively and joyous dance performed in a circle formation, with dancers holding hands or linking arms. The Kolo dance is characterized by its rhythmic footwork, graceful turns, and spirited movements. It is accompanied by traditional Serbian music played on instruments such as the accordion, flute, and tamburica, creating an energetic and festive atmosphere. The dancers move in a synchronized manner, following the lead of a designated leader or ""kolo vođa,"" who sets the pace and direction of the dance. The steps include side-to-side movements, grapevine steps, and occasional leaps, with dancers often spinning individually or in pairs. The Kolo dance is not only a joyful celebration of Serbian culture but also a symbol of unity and community, as participants join hands and share in the collective rhythm and spirit of the dance. It is commonly performed at weddings, folk festivals, and cultural events, serving as a vibrant expression of Serbian traditions and heritage."
Ukraine,UA,UKR,Europe,"The Cossack dance, also known as the Hopak, is a traditional Ukrainian folk dance that embodies strength, agility, and bravado. Originating from the Cossack warrior culture, this dynamic dance showcases impressive acrobatics, high jumps, and powerful movements. Dancers, typically men, wear traditional Cossack attire, including embroidered shirts, wide trousers, and boots. The dance begins with slow, deliberate steps, gradually building up to a rapid tempo, where performers showcase their athleticism through intricate footwork, kicks, spins, and leaps. The Cossack dance often involves impressive displays of strength, such as squatting and kicking, and squatting and leaping. The synchronized movements and synchronized shouts of the dancers create an electrifying atmosphere, symbolizing the unity and camaraderie of the Cossack warriors. The Cossack dance is not only a thrilling spectacle but also a proud representation of Ukrainian culture and heritage, showcasing the indomitable spirit and skill of its performers."
Norway,NO,NOR,Europe,"Norwegian Halling is a traditional folk dance that originates from the Valdres region of Norway. It is a solo dance typically performed by a male dancer, showcasing strength, agility, and precision. The Halling dance is known for its acrobatic elements and rhythmic footwork. The dancer wears traditional clothing, including a bunad (Norwegian folk costume), and often a hat. The dance begins with the dancer tapping his feet to establish the rhythm, then progresses to a series of impressive moves such as leaps, kicks, and spins. One notable move is the ""kast,"" where the dancer attempts to kick a hat suspended in the air using their feet. Other movements may include handstands, flips, and intricate footwork patterns. The Halling dance requires both physical strength and artistry, and its high-energy performance captivates audiences with its combination of athleticism and cultural expression. It serves as a proud representation of Norwegian folk traditions and continues to be celebrated and performed at festivals and cultural events, preserving the rich heritage of Norway."
Portugal,PT,PRT,Europe,"The Portuguese Vira dance is a lively and spirited folk dance that originates from the northern regions of Portugal, particularly Minho and Douro Litoral. It is a circle dance traditionally performed during festive occasions, weddings, and community celebrations. The Vira dance is characterized by its energetic tempo and joyful movements. Participants join hands and form a circle, moving in a clockwise direction. The dance involves a series of lively steps, jumps, and spins, accompanied by clapping and singing. The music that accompanies the Vira dance is typically played on traditional Portuguese instruments such as the accordion, tambourines, and drums. The Vira dance is a celebration of Portuguese culture and community, bringing people together in a joyful and festive atmosphere. It serves as a symbol of unity, joy, and the preservation of traditional customs, allowing participants to immerse themselves in the vibrant rhythms and shared experiences of the dance."
Romania,RO,ROU,Europe,"The Hora dance is a traditional circle dance that originated in Eastern Europe, particularly in Jewish and Romanian communities. It is a joyful and spirited dance performed in a circle formation, often accompanied by lively music played on instruments like violins, accordions, and drums. The dancers join hands and move in a synchronized pattern, stepping to the lively rhythm of the music. The steps are usually simple, involving side-to-side movements, grapevine steps, and occasional spins. As the dance progresses, the tempo may increase, leading to faster and more energetic movements. The Hora dance brings people together in a celebration of community and unity, as participants form a tight-knit circle, laughing, clapping, and singing along to the music. It is often performed at festive occasions like weddings, holidays, and other joyful gatherings, creating a sense of togetherness and shared cultural heritage. The Hora dance embodies the spirit of joy, celebration, and the power of collective rhythm and movement."
Germany,DE,DEU,Europe,"The Schuhplattler is a lively and energetic traditional folk dance from the Alpine regions of Bavaria and Tyrol. Performers, often in groups of male dancers, stomp their feet, clap their hands, slap their thighs, and execute synchronized movements to the beat of lively music. With traditional costumes featuring lederhosen and feathered hats, the dancers showcase their agility and coordination through kicks, jumps, spins, and acrobatic maneuvers. The Schuhplattler is not only a captivating display of rhythmic precision but also a cherished symbol of German folk culture, performed at festivals and celebrations, where it brings people together in a joyous celebration of tradition, community, and shared heritage."
Greece,GR,GRC,Europe,"The Greek Syrtos dance is a traditional folk dance that holds deep cultural significance in Greece. It is a communal dance often performed in a circular or line formation, where participants join hands and move together in a rhythmic pattern. The Syrtos encompasses a variety of regional variations, but they all share common elements such as graceful steps, lively footwork, and fluid movements. The dance is accompanied by traditional Greek music played on instruments like the bouzouki, violin, and clarinet, creating an uplifting and joyful atmosphere. Dancers follow the lead of a designated leader or ""kalamatianos,"" who sets the pace and guides the movements of the group. The steps include side-to-side movements, gentle hops, and occasional turns, creating a flowing and harmonious display of unity. The Syrtos dance is often performed at celebrations, weddings, and other festive occasions, allowing participants to connect with their cultural heritage and express their joy and camaraderie through the art of dance. It embodies the spirit of Greek traditions, community, and celebration, bringing people together in a shared experience of music and movement."
Sweden,SE,SWE,Europe,"The Swedish Polska dance is a traditional folk dance that holds a significant place in Swedish cultural heritage. It is a couple dance that originated in the 18th century and has evolved into various regional styles across Sweden. The Polska is characterized by its smooth and flowing movements, danced to a distinctive 3/4 time signature. The dancers typically hold each other in a closed position, with one partner leading and the other following. The dance is marked by a combination of gentle turns, graceful steps, and intricate footwork. The dancers glide across the dance floor, often emphasizing the downbeat with slight pauses or syncopated steps. The Polska dance is known for its elegance, subtle improvisation, and the connection between partners. It is often accompanied by traditional Swedish folk music played on instruments like the fiddle, nyckelharpa (keyed fiddle), and accordion. The Polska dance is not only a celebration of Swedish culture and traditions but also a way to bring people together, fostering a sense of community and joy as dancers immerse themselves in the enchanting melodies and rhythmic patterns of the dance."
Czech Republic,CZ,CZE,Europe,"The Czech Polka dance is a lively and spirited folk dance that originated in the Czech Republic. It is a couple dance that showcases quick footwork, joyful movements, and energetic spins. The dancers typically hold each other in a closed position, with the lead partner guiding the steps and movements. The Polka is danced to a lively 2/4 or 4/4 time signature, accompanied by traditional Czech folk music played on instruments such as the accordion, fiddle, and clarinet. The dance involves a combination of small hops, quick side steps, and occasional twirls, all performed with exuberance and enthusiasm. The dancers maintain a cheerful and animated demeanor, engaging in playful interactions and displaying a sense of camaraderie. The Czech Polka dance is often performed at social gatherings, festivals, and celebrations, creating a vibrant and festive atmosphere. It is not only a reflection of Czech cultural heritage but also a joyful expression of music, movement, and community, as participants come together to embrace the spirited rhythms of the Polka."
France,FR,FRA,Europe,"The French Bourrée dance is a traditional folk dance that originated in the central regions of France, particularly in Auvergne and Berry. It is a lively and spirited dance typically performed in a couple or group formation. The Bourrée is characterized by its energetic tempo and distinctive rhythm, played in 2/4 or 3/8 time. The dance features quick and light steps, with dancers moving in a combination of small hops, quick side steps, and occasional turns. The dancers maintain a close connection with their partners, often holding hands or linking arms, as they move in a synchronized pattern. The Bourrée dance is accompanied by traditional French music played on instruments such as the accordion, fiddle, and hurdy-gurdy, creating a lively and festive ambiance. The dance exudes a sense of joy and celebration, as participants immerse themselves in the spirited rhythms and lively movements of the Bourrée. It is commonly performed at traditional folk festivals, cultural events, and social gatherings, serving as a testament to the rich heritage and vibrant traditions of French folk culture."
Latvia,LV,LVA,Europe,"Latvian folk dances are a vibrant celebration of tradition and community, reflecting the rich cultural heritage of Latvia. These lively and synchronized dances, often performed in a group or circle formation, feature intricate footwork, graceful arm gestures, and joyful movements. Accompanied by traditional music played on instruments like the kokle and fiddles, Latvian folk dances embody the spirit of unity and pride, fostering a sense of togetherness while preserving national identity. Whether it's the ebb and flow of the ""Jūras Dziesma"" or the lively spins of the ""Griezeņu polka,"" these dances bring people together, encapsulating the joy, beauty, and connection to nature that is deeply woven into Latvian culture."
Finland,FI,FIN,Europe,"Finnish Tango is a unique and cherished genre of tango that has gained popularity in Finland. It has its roots in the Argentine tango but has evolved into a distinct style with Finnish influences. Finnish Tango is known for its melancholic and sentimental melodies, heartfelt lyrics, and romantic themes. The dance itself is characterized by smooth, flowing movements, often danced in a close embrace. Unlike the more dramatic and passionate Argentine tango, Finnish Tango focuses on subtle nuances and emotional connection between partners. The music is typically performed with instruments like the accordion, violin, and guitar, creating a nostalgic and melodic ambiance. Finnish Tango holds a special place in Finnish culture, with numerous festivals, competitions, and social events dedicated to its celebration. It serves as a means of expression, allowing individuals to convey their emotions and stories through music and dance, while also representing a unique blend of Finnish and Argentine influences. Finnish Tango is not just a dance but a cultural phenomenon that reflects the Finnish people's love for romance, music, and heartfelt connections."
Switzerland,CH,CHE,Europe,"The Swiss Ländler dance is a lively and traditional folk dance that hails from Switzerland. It is a couple dance characterized by its joyful and rhythmic movements. Dancers often hold each other in a closed position, with arms linked or wrapped around each other, as they move in a circular or back-and-forth pattern. The Ländler dance features lively footwork, light hops, and playful spins, with the dancers gracefully gliding across the dance floor. Accompanied by traditional Swiss music played on instruments such as the accordion, fiddle, and clarinet, the dance creates an atmosphere of celebration and merriment. The Swiss Ländler dance showcases the rich cultural heritage of Switzerland, allowing participants to connect with their roots and share in the collective joy of music and movement."
Denmark,DK,DNK,Europe,"Danish Gammeldans is a traditional folk dance that holds a special place in Danish culture. It is a social dance that originated in the 19th century and is still widely enjoyed today. Gammeldans, meaning ""old dance"" in Danish, encompasses a variety of dance styles including waltzes, polkas, and mazurkas. The dance is characterized by its elegant and graceful movements, performed in a relaxed and joyful manner. Dancers often move in pairs, gliding across the dance floor with smooth steps and gentle turns. The music, typically played by a live band or ensemble, features instruments such as accordions, violins, and clarinets, creating a lively and festive atmosphere. Danish Gammeldans brings people together, fostering a sense of community and celebration. It is commonly enjoyed at social gatherings, weddings, and folk festivals, where participants of all ages join in the merriment, sharing the delight of Danish traditions and the pleasure of connecting through music and dance."
Hungary,HU,HUN,Europe,"The Hungarian Csárdás dance is a vibrant and energetic folk dance that originates from Hungary. It is a couple dance performed in 2/4 or 4/4 time, characterized by its lively tempo and intricate footwork. The Csárdás dance is known for its dynamic changes in rhythm and intensity, reflecting both the playful and passionate aspects of Hungarian culture. The dance begins with a slower, graceful section called ""lassú,"" where dancers perform elegant movements and gentle turns. This is followed by a faster and more exuberant section known as ""friss,"" where the tempo increases, and dancers showcase lively footwork, jumps, and spins. The dancers often engage in flirtatious interactions, with the male dancer impressing his partner through skillful movements and expressive gestures. The Csárdás dance is accompanied by traditional Hungarian music, played on instruments such as the violin, cimbalom, and clarinet, which adds to the festive and celebratory atmosphere. The Csárdás dance is an integral part of Hungarian cultural traditions, often performed at weddings, festivals, and other social gatherings. It reflects the vibrant spirit and rich cultural heritage of Hungary, as dancers immerse themselves in the rhythmic beauty and expressive movements of this captivating dance."
Indonesia,ID,IDN,Asia,"Saman dance is already well known in the world. The UNESCO has designated this Aceh’s regional dance as the ‘Representative List of the Intangible Cultural Heritage of Humanity’ in 2011. The Saman Dance originates from the Gayo Tribe. This dance is to commemorate the important days of traditional Acehnese people or to commemorate the birth of the Prophet Muhammad. Reputedly, the Saman Dance was developed by Syekh Saman, a cleric from Gayo in Southeast Aceh. The Saman dance is performed by a group of dancers of an odd number. The uniqueness of this dance lies in the sound that comes from the movements of the dancers’ hands. "
China,CN,CHN,Asia,"The Yangko dance is a traditional Chinese folk dance. The dance is smooth and compact in rhythm, featuring its jolly scene, abundant dance language, exuberant gestures, and vivid performing style. The Yangko dance was created by the farmers when they worked in the rice field in the Song Dynasty, and is used to worship god of farming to pray for harvest in ancient times. Year after year, the Yangko dance constantly absorbed techniques and forms from farming songs, folk songs, folk Kungfu, acrobatics and dramas. Because of the differences of regions and customs, some variations exist in the Yangko dances. There are three types of performance in Chinese Yangko dance: the song-and-dance duets, Yangko performed on the ground and Yangko preformed on the stilts. Yangko dance costumes, a kind of traditional Chinese dance performance costumes, are colorful and gorgeous, made mainly based on the theatrical costumes."
South Korea,KR,KOR,Asia,"Typical South Korean traditional dance is Cheoyongmu. This dance is a kind of mask dance that is often staged in the palace to reject the reinforcements and ask blessings to the gods. This dance is believed to have originated from the time of the Silla United Kingdom and is still able to survive to this day. In 2009, UNESCO has even entrusted this Cheoyongmu dance into the Supreme Masterpiece of the Oral and Nonhuman Cultural Heritage of Man. This dance is synonymous with the use of a red Cheoyong mask with a friendly smile and white teeth. This mask is also equipped with 2 earrings, necklaces and black hat with peony flowers, tree twigs, and 7 peaches. All these elements are believed to be exorcists."
Japan,JP,JPN,Asia,"Nihon Buyo is a traditional Japanese dance executed on stage by a performer wearing a kimono and using a fan as props. The dance movement is gentle and elegant, accompanied by shamisen music. Each performance has a different story and emotions to convey. These all come together to make one piece of art. Nihon Buyo is performed either individually or by group performance."
Thailand,TH,THA,Asia,"One of the best-known classical dances is the UNESCO Heritage Khon Dance, often performed in the royal court with masked dancers and a narrator. With a history of 400 years, the dance evolved from the ritual and dance of the Hindu temple. Khon is often performed by male dancers dressed as characters, including men, women, demons, and monkeys."
Laos,LA,LAO,Asia,"The Lam Vong is a slow revolving circle dance with men on the outside and women on the inside cheering together with graceful hand movements and simple footsteps. The beautiful arm and hand gestures are combined harmoniously with rhythmic musical instruments like a Khaen, a bamboo flute, and Saw, a traditional fiddle. With the diverse ethnic groups of the country, the dance has different choreographic styles, reflecting the richness of the Laotian culture. The Lam Vong is an elegant dance where the performers are courteous with their partners. Before the dance starts, there is a formal greeting where the man and woman bow with their hands joined together to express respect for each other. Throughout the performance, the partners maintain a mannered distance, where there is no physical contact. The choreography consists of cycles of eight movements, which are repeated based on the length of the music."
Malaysia,MY,MYS,Asia,"Originating from Kelantan, Mak Yong was typically performed in a royal theatre under the direct patronage of the Kelantan Sultanate until the 1920s. The musical instruments used in Mak Yong are the spiked lute, gong, kesi (finger cymbals), drum, and flute. The music and melody fit perfectly with the dance while revealing a drama of its own. Besides being intended for entertainment, this dance is also regarded as a healing process when the ritual is performed. Since the Mak Yong dance is believed to have a mystical element, the conservative state government of Kelantan banned performances of the Mak Yong in 1998."
India,IN,IND,Asia,"Performed on the celestial tunes of the Carnatic music, Bharatnatyam comes from the state of Tamil Nadu in South. The origins of Bharatnatyam can be traced back to 1000 BC, and it originates from the ancient temples of Tamil Nadu performed by the women of the classical period. The dance form is known for its beautiful body movements and gestures which are called Mudras in the traditional language. It focuses on the hand gestures, leg movement and the facial expressions of the dancer. This dance form was very prevalent before the British era but was profoundly depressed during the colonial period. However, India kept the dance form alive in the houses, and today it is recognised as one of the most respectable art forms in India especially in the Southern region of the country where it is a moment of pride for the women of the house to learn the classical dance form of Bharatnatyam."
United Arab Emirates ,AE,ARE,Asia,"The Ayyalah,also known as Al Ayala, Iyala or the stick dance. The dance form is one of the most famous traditional dances of Dubai and UAE. Al Ayala is a dance form that simulates war, with a deep beat of the Al Ras (large drum), which sets up a tempo for the Takhamir drums, which are smaller in size. The dance form is organised with two rows of men, who stand in front of one another. This dance form is performed only by men and are needed minimum 25 of them, which can go up to 200 at one time. The dance is open to all, which means that people of all classes, castes and races can come and join the event. But, the role of the dance leader is inherited and it is their responsibility to train the other dancers. The more the number of dancers in the group, the more spectacular is the Ayyalah considered. Researches have revealed that this dramatic dance form migrated to the Emirates from Najd, Saudi Arabia during the 19th century."
